country_a,country_b,year,comlang,comethno,dist_cepii,dist_mc,gdpa,gdpb,gdpcomb,gpi_a,gpi_b,hhmi_a,hhmi_b,polity_a,polity_b,polity_aff,lor,lorb,loravg,igo_count,igo_weights,mn,treaty_count,treaty_weight,iln,unga,bits_sig_binary,tradeindex,imports,exports,totaltrade,exports_per,imports_per,totaltrade_per,totaltrade_per_b,totaltrade_per_gdp_a,totaltrade_per_gdp_b,lntotaltrade,expectedtrade,actminusexptrade,fdi_inflows,fdi_outflows,fdi_outstock,fdi_instock,arms_imports,arms_exports,arms_imports_per,arms_exports_per,arms_total,arms_total_percent,arms_imports_ma,arms_exports_ma,arms_imports_stock,arms_exports_stock,arms_imports_stock_per,arms_exports_stock_per,arms_imports_stock_per_b,arms_exports_stock_per_b,milspenda,milspendb,milstocka,milstockb,armsstock_milstock_a,armsstock_milstock_b,rivalry,shared_disputes,directed_dispute_complainant,directed_dispute_respondent,mepv_inttot,mepv_civtot,mepv_actotal,mid_binary,mid_fatlev,mid_highact,allianceindex,remit_a,remit_b,remit_a_per_gdp_a,remit_b_per_gdp_b,aid_a,aid_b,aid_a_per_gdp_a,aid_b_per_gdp_b,migrantstocktotal,migrantstockmale,migrantstockfemale
Togo,Afghanistan,1978,0,0,7601.833,7368.927128089442,1.931,4.862,6.7930002,.013727437,.045998242,.076384269,.14912924,3,10,13,0,0,0,13,159.07904,.23301382,15.75,84.886742,.13857174,.872549,0,0,0,,,,0,,,,,,-2.1409211,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.098480999,.111826,.32698426,.78843218,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Saudi Arabia,Afghanistan,1983,0,0,2425.437,2649.061114903338,254.89999,5.1100001,260.00998,1.6498744,.044683889,1.5438523,.14610334,0,10,10,1,.38,.69,17,180.96292,.248293,20,106.67584,.12420946,.90972221,0,0,13.092551,0,13.092551,0,.00010497428,.000061821702,.010517139,.00005136348,.0025621431,2.5720434,2.95224,-.38019657,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,56.077999,.32703999,312.12744,1.6306336,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Benin,Afghanistan,1997,0,0,7481.0059,7253.693884221753,4.1810002,7.1690001,11.35,.018202659,.053018656,.083149679,.14556557,16,3,7,0,0,0,19,204.55354,.22219895,35.25,301.21198,.21723498,.94915253,0,0,,,,,,,,,,,-1.1322433,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.054352999,.32618949,.5168075,3.1119602,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Palestine,Afghanistan,1965,,,,3044.517889263072,2.9003999,4.066,6.9664001,.019904947,.050933037,.020030085,.17160727,,3,,0,0,0,1,.0099999998,.000019385299,0,0,0,,0,0,,,,,,,,,,,-1.1220378,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.1856256,.064649403,.84936231,.22018915,0,0,0,,,,,,,0,,,0,,,,,0,0,0,0,,,
Cameroon,Afghanistan,2001,0,0,6842.123,6517.72038239925,18.42,6.5840001,25.004,.052942771,.049862169,.14303985,.13894553,6,10,16,0,0,0,21,239.20799,.25048879,42.25,389.14435,.21188593,.9861111,0,0,,,,,,,,,,,.19625889,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.23946001,.207396,2.1257038,2.9053168,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Luxembourg,Afghanistan,1974,0,0,5304.3359,5177.446454559926,15.95,4.6719999,20.622,.043653604,.047434196,.12830047,.15754379,20,3,3,0,0,0,15,161.51659,.28601098,23.25,111.44114,.18780129,.64666665,0,0,.0469,.105424,.15232401,.000015446909,6.8718700e-06,.000011040673,.000071411043,9.5500945e-06,.000032603599,-1.8817455,.038001042,-1.9197465,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.11165,.098112002,.93799204,.60907537,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Belgium,Afghanistan,1999,0,0,5416.1211,5281.431685388166,423.70001,7.171,430.871,.9507733,.052071173,.56154108,.14212316,20,3,3,0,0,0,19.75,249.75224,.26533893,55.25,438.20743,.27308312,,0,0,.0089202719,2.2884068,2.297327,.00001433011,5.5859157e-08,6.5622771e-06,.0055382247,5.4220604e-06,.00032036356,.83174628,3.1699424,-2.338196,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.9317999,.2760835,70.194901,3.0569108,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Sri Lanka,Afghanistan,1993,0,0,3261.061,3320.330001909091,23.190001,5.2119999,28.402,.099932887,.044550002,.19647224,.13666646,15,10,15,0,0,0,24,233.6683,.27366903,46.25,307.96487,.24952944,.95454544,0,0,.031152647,1.8380061,1.8691587,.0004252636,7.2078578e-06,.00019422077,.0010052295,.000080601931,.00035862601,.62548846,.80341417,-.17792571,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.78846002,.310114,4.0608182,3.0632627,0,0,0,,,,0,5,5,0,,,0,,,,,0,0,0,0,,,
El Salvador,Afghanistan,2003,0,0,14203.46,14099.6710740896,20,9.1829996,29.182999,.036408294,.057381995,.10732459,.14981885,17,10,13,0,0,0,19.75,257.45831,.25865033,43.5,480.34784,.24126087,.88181818,0,0,,,,,,,,,,,-.89757532,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.22,.19284301,3.2031617,2.7595432,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Senegal,Afghanistan,1981,0,0,8799.582,8523.771690120206,5.6849999,5.0089998,10.694,.028450934,.046294406,.14021955,.14595227,9,10,19,0,.38,.19,18,177.63518,.24139521,21.75,148.08702,.20171323,.85245901,0,0,18.935644,,,,.017296733,,,,,,-1.4181272,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.18192001,.25545901,1.265029,1.3451825,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Liberia,Afghanistan,1963,0,0,8699.1172,8448.057349287714,.96399999,3.904,4.868,.0086670062,.051062562,.13634035,.17646545,4,0,16,0,0,0,12,164.98921,.32334176,13,99.005676,.22133981,.77419353,0,0,,,,,,,,,,,-3.1238298,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.018605201,.037868802,.062281717,.12741128,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
East Germany,Afghanistan,1972,,,,,,4.5799999,,,.048163433,,.16111296,1,3,18,0,0,0,1,14.460833,.026865909,2.25,29.628012,.051578876,,0,0,0,,,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.091600001,,.53315896,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,,,,
Togo,Afghanistan,1998,0,0,7601.833,7368.927128089442,2.845,6.882,9.7270002,.013164949,.051904682,.074392252,.14565842,8,3,15,0,0,0,20,213.88368,.23047739,39.75,363.35245,.24849841,.97368419,0,0,,,,,,,,,,,-1.516192,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.051210001,.28904399,.5514946,3.0898082,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Somalia,Afghanistan,1961,0,0,4380.1821,4020.881309416819,.011,3.7709999,3.7819998,.010254098,.057369981,.05738065,.20413388,17,0,3,0,0,0,7,117.13985,.24534734,4,47.57621,.10359857,.75742573,0,0,0,0,0,0,0,0,0,0,0,,-6.1107845,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.00038499999,.0365787,.00073149998,.069202714,0,0,0,,,,0,0,0,0,,,0,,,,,,,,,,,
India,Afghanistan,1994,0,0,1003.893,1818.25488324661,591.29999,5.0560002,596.35602,3.1424866,.045517113,4.9029369,.14032817,18,10,12,.75,1,.875,24,237.47472,.25354517,50.75,331.57053,.26071319,.87068963,0,3,3.0500758,24.218513,27.268589,.00057124143,.00007194205,.00033676933,.038624279,.000046116336,.0053933123,3.3057353,3.8169477,-.51121235,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,16.5564,.28313601,130.76314,3.0400724,0,0,0,,,,0,7,7,0,,,0,,,,,0,0,0,0,,,
Canada,Afghanistan,1972,0,0,10768.89,10619.09969942365,615.70001,4.5799999,620.28003,1.8172996,.048163433,1.3738447,.16111296,20,3,3,.38,.38,.38,16,171.33658,.31831586,26.75,172.71382,.30067441,.69444442,0,0,0,.53763443,.53763443,4.5221250e-06,0,2.3438267e-06,.00049222267,8.7320842e-07,.00011738743,-.62057644,2.0881319,-2.7087083,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.9297,.091600001,99.034431,.53315896,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Azerbaijan,Afghanistan,2012,0,0,1822.217,1827.943041322415,67.266197,20.54598,87.81218,.1968751,.040952545,.1949908,.1804802,3,10,13,0,0,0,28.5,317.33945,.31007522,54,556.83984,.37161666,.97692305,0,12,,117.44991,,.0043297922,,,,,,,3.1592681,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.09442,.7809,16.660271,3.7235961,0,0,0,,,,0,0,0,0,,,0,0,0,0,0,,,,,,,
Egypt,Afghanistan,1969,0,0,3584.3191,3447.496714689342,27.860001,4.4460001,32.306,.32573122,.049187146,.60935956,.16478884,3,3,20,1,1,1,16,156.57262,.29660809,22.75,118.37196,.21370862,.88749999,0,0,0,0,0,0,0,0,0,0,0,,.79998642,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.6745601,.093365997,13.08782,.43131369,0,0,0,,,,4,0,4,0,,,0,,,,,0,0,0,0,,,
Chile,Afghanistan,1947,0,0,16353.9,16286.99822825783,,,,,,,,12,0,8,0,0,0,5,90.257668,.49403837,4.5,56.083485,.38075715,.5,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,0,0,0,0,,,0,,,,,,,,,,,
Uruguay,Afghanistan,2009,0,0,15100.65,14927.15429158718,40.59,15.53,56.119999,.052840158,.030912049,.12457827,.17096221,20,10,10,0,0,0,23.75,297.58115,.29489613,64.25,678.63049,.39609224,.94444442,0,0,,.080451787,,.000013392747,,,,,,,-.0072390721,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.85238999,.31060001,7.3285995,2.6573601,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Central African Republic,Afghanistan,1968,0,0,6188.3149,5990.364438845722,.89300001,4.3779998,5.2709999,.0083510038,.049875859,.087094754,.16945834,3,3,20,0,0,0,13,149.73012,.28634948,13,102.85791,.19714604,.7352941,0,0,0,,,,0,,,,,,-2.6225462,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.020539001,.096316002,.074421413,.37549743,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Trinidad and Tobago,Afghanistan,1963,0,0,12807,12665.11700172021,5.9229999,3.904,9.8269997,.027212029,.051062562,.064228818,.17646545,18,0,2,0,0,0,10,156.27631,.30626643,4,49.686756,.11108108,.8214286,0,0,0,,,,0,,,,,,-2.3852549,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.0201382,.037868802,.049271919,.10098583,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Iran,Afghanistan,1990,1,1,1620.826,1442.999175940257,214.60001,5.283,219.88301,.58210129,.039371848,.71750045,.1363648,4,2,18,.75,.75,.75,21,193.19701,.26626089,39,232.10582,.23335378,.97647059,0,0,0,0,0,0,0,0,0,0,0,,3.0643694,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.2919998,.36980999,127.86002,2.9647112,0,0,0,,,,0,4,4,0,,,0,,,,,0,0,0,0,3064953,1754513,1310440
Peru,Afghanistan,1962,0,0,15811.19,15488.67381463425,33.189999,3.836,37.025997,.19338155,.051166385,.36855152,.1847472,4,0,16,0,0,0,15,170.03174,.34975892,8.5,67.467094,.15225208,.52499998,0,0,0,0,0,0,0,0,0,0,0,,-1.4740301,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.94259602,.037209202,2.3822885,.099491641,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Bhutan,Afghanistan,1989,0,0,2103.501,2311.070562751438,.40900001,5.4239998,5.8329997,.001905782,.039618813,.035940859,.13706659,0,2,18,0,0,0,16,172.08687,.24474569,15.5,94.179657,.099494584,.96460176,0,0,,,,,,,,,,,-2.4021907,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.0057259998,.398664,.031996228,2.8832235,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Haiti,Afghanistan,1997,0,0,12861,12726.98577579617,6.6630001,7.1690001,13.832001,.02341851,.053018656,.099267915,.14556557,17,3,6,0,0,0,19.75,222.39194,.24157614,35.5,345.62479,.24926561,.95744681,0,0,,,,,,,,,,,-1.7803994,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,.32618949,.38376206,3.1119602,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Samoa (Formerly Western Samoa),Afghanistan,1979,0,0,12020.44,13654.14236839198,,4.9109998,,.00090721902,.049679231,.024957176,.15211546,,10,,0,0,0,8,133.07292,.19072685,8,48.574879,.07849285,.85447758,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.001596,.29957101,.012312513,.99877304,0,0,0,,,,,,,0,,,0,,,,,0,0,0,,,,
Marshall Islands,Afghanistan,1998,0,0,10652.17,,,6.882,,,.051904682,,.14565842,,3,,0,0,0,10,214.91371,.23158734,13.5,154.88257,.10592489,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.28904399,,1.8135972,0,0,0,,,,,,,0,,,0,,,,,0,0,0,,,,
Latvia,Afghanistan,1967,0,0,4186.2739,4050.585331438506,9.9020004,4.23,14.132,,.049786128,,.18352035,,3,,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,-.23668659,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,.071910001,0,.31020159,0,0,0,,,,,,,0,,,0,,,,,0,0,0,0,,,
Zambia,Afghanistan,1971,0,0,7048.7598,6763.538364948335,7.6620002,4.5349998,12.197001,.044958279,.047934797,.12463629,.16196893,10,3,13,0,0,0,14,156.40501,.29461175,8.25,68.984421,.12140805,.94067794,0,0,0,0,0,0,0,0,0,0,0,,-.91311228,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.375438,.072559997,.89534366,.43577471,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Ethiopia,Afghanistan,2001,0,0,4196.2061,4083.446786130818,13.35,6.5840001,19.934,.14142753,.049862169,.3192611,.13894553,11,10,19,0,0,0,18.5,234.96289,.24604347,43,395.40332,.2152939,.97297299,0,0,.10618958,,,,.00016290986,,,,,,.3870731,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.58740002,.207396,5.7093744,2.9053168,0,0,0,,,,,,,0,,,0,,,,,0,0,0,0,,,
Papua New Guinea,Afghanistan,2001,0,0,9528.0088,9363.513498527551,7.835,6.5840001,14.419001,.020006057,.049862169,.073134728,.13894553,14,10,16,0,0,0,21.5,227.21114,.23792616,31.5,272.55899,.14840615,.92105263,0,0,,,,,,,,,,,-1.0733008,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.062679999,.207396,.75729442,2.8905067,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Ethiopia,Afghanistan,1970,0,0,4196.2061,4083.446786130818,7.013,4.4899998,11.503,.1178863,.048182938,.30763161,.16605143,1,3,18,0,0,0,13,154.93568,.29222855,18,106.2581,.19476308,.87931037,0,0,,,,,,,,,,,-.48547551,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.18119401,.076329999,1.0981514,.46451232,0,0,0,,,,0,1,1,0,,,0,,,,,0,0,0,0,,,
Uruguay,Afghanistan,1945,0,0,15100.65,14927.15429158718,,,,,,,,10,0,10,0,0,0,3,11.682639,.077208519,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,0,,,0,,,,,,,,,,,
Nepal,Afghanistan,2002,0,0,1710.066,1795.955570535079,13.03,8.4680004,21.498001,.061126232,.054324202,.14748059,.14257541,4,10,14,0,0,0,24,241.2877,.24529743,44.5,419.58945,.22139528,1,0,0,,,,,,,,,,,1.0167896,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.16938999,.237104,.91151994,2.8518891,0,0,0,,,,0,2,2,0,,,0,,,,,0,0,0,0,,,
Nicaragua,Afghanistan,2011,0,0,14235.58,14070.84017195585,9.9102621,17.880711,27.790974,.016893245,.038405295,.089113943,.17857108,19,10,11,0,0,0,25.75,287.46368,.2838403,63.5,607.55725,.35723016,,0,0,,,,,,,,,,,-.92249811,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.069370002,.84035999,1.9944158,3.5535936,0,0,0,,,,0,0,0,0,,,0,.0042226668,0,2.3615766e-07,0,0,0,0,0,,,
Dominica,Afghanistan,2011,0,0,12416.77,,,17.880711,,,.038405295,,.17857108,,10,,0,0,0,16.75,261.13574,.25784421,47.75,509.48776,.29956749,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.84035999,,3.5326846,0,0,0,,,,,,,0,,,0,0,0,0,,0,0,0,,,,
Iraq,Afghanistan,1979,0,0,2285.353,2105.881522990481,40.689999,4.9109998,45.600998,.25405404,.049679231,.37794709,.15211546,1,10,11,.5,1,.75,19,177.19164,.25396001,24.5,109.08988,.17627993,.94,0,0,0,0,0,0,0,0,0,0,0,,1.4624764,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.2083201,.29957101,42.287384,1.00916,0,0,0,,,,0,8,8,0,,,0,,,,,0,0,0,0,,,
Tunisia,Afghanistan,1961,0,0,5252.6182,5153.790539310067,4.0949998,3.7709999,7.8659997,.047241583,.057369981,.17324345,.20413388,1,0,19,0,0,0,14,165.4393,.34650964,9.75,100.3988,.2186213,.80952382,0,0,0,0,0,0,0,0,0,0,0,,-1.2953171,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.057330001,.0365787,.106533,.069202714,0,0,0,,,,0,1,1,0,,,0,,,,,,,,,,,
Algeria,Afghanistan,1988,0,0,5866.7358,5710.952057840226,105.4,5.3709998,110.771,.27286023,.039872989,.44189867,.13627517,1,10,11,0,0,0,18,187.25285,.26987585,32.5,209.76782,.22529437,.98872179,0,0,0,0,0,0,0,0,0,0,0,,1.6597608,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.7918,.41356701,25.188042,2.7587247,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Palestine,Afghanistan,2006,,,,3044.517889263072,8.1969995,10.89,19.087,.018166676,.022280533,.030395692,.16325997,,10,,0,0,0,5.5,67.330254,.066604361,0,0,0,,0,0,,,,,,,,,,,.59842974,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.52460802,.19602001,3.9480474,2.5402806,0,0,0,,,,,,,0,,,0,,,,,0,0,0,0,,,
United Kingdom,Afghanistan,2008,0,0,5718.0781,5673.931355820247,2526,12.83,2538.8301,4.2013235,.026706452,3.0456834,.16920553,20,10,10,1,1,1,26.75,309.8479,.30774301,77.75,679.77496,.40088055,.62,0,0,1.3158598,130.82243,132.13829,.00028028863,2.8192453e-06,.00011774259,.02278427,.000052311279,.010299166,4.8838491,5.1070719,-.22322273,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,63.150002,.28226,566.63654,2.6075113,0,0,0,,,,0,0,0,0,,,0,,,,,244.15901,0,.019030321,0,,,
Senegal,Afghanistan,1990,0,0,8799.582,8523.771690120206,6.9850001,5.283,12.268,.02920427,.039371848,.13638856,.1363648,9,2,13,0,0,0,21,193.33301,.26644832,39.25,286.14093,.28767943,.98214287,0,0,0,0,0,0,0,0,0,0,0,,-1.1978167,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,.1397,.36980999,1.4204783,2.9647112,0,0,0,,,,0,0,0,0,,,0,,,,,0,0,0,0,,,
Dominica,Afghanistan,1996,0,0,12416.77,,,6.763,,,.052206308,,.14718631,,3,,0,0,0,13,189.38237,.20364502,22.75,255.85898,.19015238,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.33138701,,2.9937458,0,0,0,,,,,,,0,,,0,,,,,0,0,0,,,,
Dominica,Afghanistan,1995,0,0,12416.77,,,6.3800001,,,.050723549,,.14543182,,10,,0,0,0,12,186.52194,.19681175,22.75,251.60158,.1903774,,0,0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.33495,,2.9581764,0,0,0,,,,,,,0,,,0,,,,,0,0,0,,,,
